state_name,enrolled_female2019_total,enrolled_female2020_total,enrolled_female2021_total,enrolled_female2022_total
Amazonas,17.36649,14.720395,18.69245,20.611961
Pernambuco,12.133488,14.996682,17.879213,20.508797
Sao Paulo,15.250732,17.140335,18.762638,19.778194
Paraiba,12.660028,14.285715,18.113375,18.419376
Distrito Federal,12.982756,14.545934,16.26683,18.242123
Para,15.874143,15.509425,16.20306,17.94485
Parana,12.116608,14.257524,15.761847,17.87402
Mato Grosso Do Sul,14.61318,15.666289,16.98881,17.658998
Santa Catarina,13.053292,14.858261,16.588202,17.657434
Ceara,13.02949,14.008586,15.754634,17.478912
Minas Gerais,14.184438,15.061203,16.176098,17.23733
Tocantins,9.338061,11.214952,13.884993,16.970387
Rondonia,15.620999,16.070267,17.850409,16.81472
Rio De Janeiro,14.032295,14.81848,15.357572,16.653423
Piaui,14.413965,14.4776125,14.979521,16.299822
Goias,13.062888,13.300199,14.5111,16.178917
Rio Grande Do Sul,13.10313,13.684483,15.139249,16.173597
Rio Grande Do Norte,15.400553,14.778922,15.350141,16.055758
Bahia,12.682453,13.349478,14.735193,15.924315
Mato Grosso,12.985274,16.233469,14.478114,15.795287
Sergipe,12.243346,12.875817,13.977334,14.953271
Espirito Santo,12.967104,13.21272,14.898689,14.888844
Acre,10.647482,11.527377,11.4449215,13.802817
Alagoas,11.123788,11.542669,11.978861,13.49384
Amapa,8.658009,12.627986,10.697675,13.3027525
Maranhao,9.034052,9.143969,11.98044,12.870221
Roraima,12.334802,14.314516,12.808989,12.691466
