year,general_name,enrolled_female_total,enrolled_male_total
2009,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),47336.0,227357.0
2009,"Engenharia, Producao E Construcao",61641.0,226493.0
2009,"Ciencias Naturais, Matematica E Estatistica",34854.0,35908.0
2010,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),47859.0,245944.0
2010,"Engenharia, Producao E Construcao",72665.0,251752.0
2010,"Ciencias Naturais, Matematica E Estatistica",46759.0,45715.0
2011,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),49226.0,259865.0
2011,"Engenharia, Producao E Construcao",83772.0,282766.0
2011,"Ciencias Naturais, Matematica E Estatistica",54197.0,51535.0
2012,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),48126.0,262313.0
2012,"Engenharia, Producao E Construcao",94500.0,308866.0
2012,"Ciencias Naturais, Matematica E Estatistica",57599.0,53878.0
2013,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),47961.0,270802.0
2013,"Engenharia, Producao E Construcao",104350.0,336472.0
2013,"Ciencias Naturais, Matematica E Estatistica",59077.0,56415.0
2014,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),47451.0,276679.0
2014,"Engenharia, Producao E Construcao",114074.0,373409.0
2014,"Ciencias Naturais, Matematica E Estatistica",59818.0,57991.0
2015,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),45287.0,276364.0
2015,"Engenharia, Producao E Construcao",116287.0,386323.0
2015,"Ciencias Naturais, Matematica E Estatistica",60790.0,60587.0
2016,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),42723.0,269408.0
2016,"Engenharia, Producao E Construcao",113000.0,381455.0
2016,"Ciencias Naturais, Matematica E Estatistica",59436.0,61001.0
2017,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),42812.0,276721.0
2017,"Engenharia, Producao E Construcao",110177.0,379555.0
2017,"Ciencias Naturais, Matematica E Estatistica",58904.0,61337.0
2018,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),44326.0,291289.0
2018,"Engenharia, Producao E Construcao",104681.0,370934.0
2018,"Ciencias Naturais, Matematica E Estatistica",58245.0,61576.0
2019,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),48708.0,309078.0
2019,"Engenharia, Producao E Construcao",97760.0,352235.0
2019,"Ciencias Naturais, Matematica E Estatistica",59076.0,63584.0
2020,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),60187.0,344274.0
2020,"Engenharia, Producao E Construcao",94609.0,338547.0
2020,"Ciencias Naturais, Matematica E Estatistica",58864.0,64263.0
2021,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),77142.0,392504.0
2021,"Engenharia, Producao E Construcao",94200.0,339579.0
2021,"Ciencias Naturais, Matematica E Estatistica",62204.0,68306.0
2022,Computacao E Tecnologias Da Informacao E Comunicacao (Tic),108303.0,491734.0
2022,"Engenharia, Producao E Construcao",91427.0,334565.0
2022,"Ciencias Naturais, Matematica E Estatistica",61174.0,68272.0
